job_role,experience,notice_period,interview_time,past_reschedules,current_company_size,candidate_location,communication_score,expected_salary,scheduled_day_gap,no_show
Backend Developer,6.9,15,Morning,0,Mid-size,Same City,8.6,1118729,12,0
Frontend Developer,0.7,30,Afternoon,2,Mid-size,Same City,8.9,1161531,12,1
QA Tester,3.0,30,Afternoon,0,Mid-size,Same City,2.5,1377448,17,1
Frontend Developer,7.1,30,Afternoon,0,Mid-size,Same City,2.2,1246454,7,0
Frontend Developer,0.7,45,Afternoon,0,Mid-size,Same City,6.7,844621,15,1
Software Engineer,5.8,45,Evening,0,Mid-size,Same City,3.7,974203,17,0
QA Tester,3.5,15,Afternoon,1,Mid-size,Same City,1.2,755241,10,1
QA Tester,6.2,30,Afternoon,0,Startup,Same City,9.0,337844,6,0
QA Tester,0.5,90,Afternoon,1,Enterprise,Same City,3.0,1022427,9,1
Frontend Developer,8.7,45,Morning,0,Mid-size,Same City,9.4,339751,15,0
Backend Developer,9.7,45,Morning,0,Startup,Different City,7.5,1428393,16,1
QA Tester,9.7,30,Morning,0,Enterprise,Same City,7.9,308326,8,0
Frontend Developer,7.5,60,Afternoon,3,Enterprise,Same City,2.8,773292,16,0
Software Engineer,1.3,60,Afternoon,0,Enterprise,Same City,3.1,1471650,5,1
Backend Developer,7.6,45,Evening,0,Mid-size,Different City,5.7,274022,18,1
Software Engineer,0.2,90,Morning,0,Startup,Different City,2.5,334458,14,1
Backend Developer,0.2,15,Morning,0,Mid-size,Same City,3.7,398317,2,0
Frontend Developer,3.2,15,Evening,0,Startup,Same City,3.9,653243,3,0
Data Analyst,4.9,60,Morning,2,Enterprise,Same City,2.4,646742,14,1
Backend Developer,7.7,60,Afternoon,0,Startup,Same City,2.8,997157,7,0
Software Engineer,6.8,15,Afternoon,2,Startup,Different City,8.1,1328109,15,0
Frontend Developer,4.5,30,Afternoon,0,Mid-size,Same City,2.5,1447964,17,0
Backend Developer,2.7,15,Morning,1,Mid-size,Same City,1.3,1438347,1,0
Data Analyst,10.0,30,Morning,2,Enterprise,Different City,6.7,984851,9,1
Data Analyst,4.3,60,Morning,0,Mid-size,Different City,9.8,901729,14,0
QA Tester,4.5,45,Afternoon,3,Startup,Same City,4.0,1285670,16,1
QA Tester,1.6,30,Afternoon,0,Startup,Same City,2.1,350960,13,0
Software Engineer,7.9,30,Morning,2,Mid-size,Same City,6.1,397745,6,1
Backend Developer,6.9,15,Afternoon,1,Startup,Different City,9.2,1402738,1,0
Backend Developer,2.2,30,Evening,0,Mid-size,Different City,8.1,1429280,4,0
QA Tester,0.8,45,Morning,0,Mid-size,Same City,6.6,1453355,3,0
Backend Developer,6.8,90,Afternoon,0,Enterprise,Same City,3.8,727965,17,0
Backend Developer,6.5,60,Afternoon,0,Enterprise,Different City,5.9,325937,2,0
Data Analyst,2.7,15,Morning,0,Enterprise,Same City,1.8,903935,19,1
QA Tester,9.5,60,Morning,0,Enterprise,Same City,7.1,894938,8,0
Frontend Developer,1.5,60,Afternoon,0,Startup,Different City,7.5,642888,15,1
QA Tester,4.3,60,Evening,1,Startup,Same City,9.7,992092,6,0
Frontend Developer,9.4,30,Evening,0,Mid-size,Same City,3.3,1127944,2,1
Data Analyst,4.2,30,Afternoon,0,Enterprise,Different City,1.2,1438406,15,1
Software Engineer,6.4,30,Afternoon,0,Enterprise,Different City,5.9,656497,12,0
Backend Developer,4.0,15,Morning,0,Enterprise,Same City,7.4,509188,3,0
Data Analyst,2.7,30,Afternoon,0,Startup,Same City,8.1,282548,10,0
Backend Developer,9.8,30,Afternoon,0,Enterprise,Same City,2.7,1261403,14,0
Software Engineer,4.1,30,Morning,2,Mid-size,Same City,3.4,474731,14,0
Software Engineer,8.9,45,Afternoon,1,Startup,Same City,5.6,1453522,3,0
Data Analyst,2.3,30,Afternoon,0,Mid-size,Different City,4.0,1236291,1,0
Software Engineer,2.1,15,Morning,1,Startup,Same City,8.7,665505,1,1
Frontend Developer,0.3,90,Evening,0,Mid-size,Same City,5.3,350020,2,1
Software Engineer,6.5,90,Morning,1,Mid-size,Same City,8.2,881796,19,0
Backend Developer,3.7,60,Morning,1,Mid-size,Different City,6.2,316846,10,0
Backend Developer,8.6,90,Morning,0,Mid-size,Same City,8.0,692985,4,0
Backend Developer,4.7,45,Afternoon,0,Enterprise,Same City,4.0,626330,4,0
Backend Developer,9.7,90,Afternoon,0,Mid-size,Same City,8.5,1040689,13,0
Frontend Developer,1.9,15,Morning,0,Mid-size,Same City,3.5,659062,9,0
QA Tester,8.7,30,Afternoon,2,Enterprise,Same City,5.9,800846,7,0
Data Analyst,7.8,30,Morning,0,Enterprise,Same City,2.9,817476,16,0
Backend Developer,7.7,15,Afternoon,1,Startup,Same City,5.3,918372,18,0
Software Engineer,8.4,15,Afternoon,3,Mid-size,Same City,3.9,807524,3,1
Backend Developer,7.6,45,Afternoon,0,Startup,Same City,3.4,819364,10,0
Software Engineer,6.3,60,Evening,1,Startup,Same City,9.7,560546,16,0
Software Engineer,1.3,45,Morning,1,Mid-size,Same City,2.4,606611,3,1
